#replica_num,sequence_num,w,w_nominal
1,70425,1.677389,114
1,70449,1.677389,114
1,70450,1.677389,114
1,70451,1.677389,114
1,70452,1.677389,114
1,70471,1.677389,114
1,70595,1.677389,114
1,70596,1.677389,114
1,70599,1.677389,114
1,70600,1.677389,114
1,70601,1.677389,114
1,70602,1.677389,114
1,70603,1.677389,114
1,70604,1.677389,114
1,70605,1.677389,114
1,70606,1.677389,114
1,70607,1.677389,114
1,70608,1.677389,114
1,70609,1.677389,114
1,70610,1.677389,114
1,70616,1.677389,114
1,70617,1.677389,114
1,70618,1.677389,114
1,70619,1.677389,114
1,70620,1.677389,114
1,70621,1.677389,114
1,70622,1.677389,114
1,70623,1.677389,114
1,70624,1.677389,114
1,70625,1.677389,114
1,70626,1.677389,114
1,70627,1.677389,114
1,70673,1.677389,114
1,70674,1.677389,114
1,70675,1.677389,114
1,70682,1.677389,114
13,69585,1.677389,114
13,69586,1.677389,114
13,69587,1.677389,114
13,70635,1.677389,114
13,70636,1.677389,114
13,70638,1.677389,114
13,70639,1.677389,114
13,70640,1.677389,114
13,70641,1.677389,114
13,70642,1.677389,114
13,70643,1.677389,114
13,70644,1.677389,114
13,70645,1.677389,114
13,70646,1.677389,114
13,70647,1.677389,114
13,70650,1.677389,114
13,70651,1.677389,114
13,70652,1.677389,114
13,70656,1.677389,114
45,70260,1.677389,114
45,70261,1.677389,114
45,70288,1.677389,114
45,70289,1.677389,114
45,70299,1.677389,114
45,70300,1.677389,114
45,70301,1.677389,114
45,70302,1.677389,114
45,70312,1.677389,114
45,70313,1.677389,114
45,70314,1.677389,114
45,70315,1.677389,114
45,70326,1.677389,114
45,70327,1.677389,114
45,70328,1.677389,114
45,70331,1.677389,114
45,70337,1.677389,114
45,70338,1.677389,114
45,70339,1.677389,114
45,70342,1.677389,114
45,70343,1.677389,114
45,70344,1.677389,114
45,70346,1.677389,114
45,70347,1.677389,114
48,70117,1.677389,114
48,70118,1.677389,114
48,70121,1.677389,114
48,70122,1.677389,114
48,70123,1.677389,114
48,70124,1.677389,114
48,70127,1.677389,114
48,70396,1.677389,114
48,70589,1.677389,114
48,70590,1.677389,114
48,70653,1.677389,114
48,70654,1.677389,114
48,70655,1.677389,114
48,70656,1.677389,114
48,70657,1.677389,114
48,70658,1.677389,114
48,70659,1.677389,114
48,70666,1.677389,114
48,70667,1.677389,114
48,70668,1.677389,114
48,70669,1.677389,114
48,70670,1.677389,114
48,70671,1.677389,114
48,70672,1.677389,114
48,70680,1.677389,114
48,70681,1.677389,114
48,70682,1.677389,114
55,69613,1.677389,114
55,69614,1.677389,114
55,69615,1.677389,114
55,69616,1.677389,114
55,69617,1.677389,114
55,69623,1.677389,114
55,69624,1.677389,114
55,69642,1.677389,114
55,69643,1.677389,114
55,69674,1.677389,114
55,69675,1.677389,114
55,69676,1.677389,114
55,69677,1.677389,114
55,69678,1.677389,114
55,69679,1.677389,114
55,69681,1.677389,114
55,69687,1.677389,114
55,69746,1.677389,114
55,69760,1.677389,114
55,69761,1.677389,114
55,69762,1.677389,114
55,69763,1.677389,114
55,69764,1.677389,114
55,69765,1.677389,114
55,69766,1.677389,114
55,69767,1.677389,114
55,69768,1.677389,114
