#replica_num,sequence_num,w,w_nominal
49,11508,1.677389,114
49,11544,1.677389,114
49,11559,1.677389,114
49,11560,1.677389,114
49,11561,1.677389,114
49,11695,1.677389,114
49,11696,1.677389,114
49,11697,1.677389,114
49,11698,1.677389,114
49,11700,1.677389,114
49,11701,1.677389,114
49,11702,1.677389,114
49,11709,1.677389,114
49,11710,1.677389,114
49,11711,1.677389,114
49,11712,1.677389,114
49,11713,1.677389,114
49,11714,1.677389,114
49,11715,1.677389,114
49,11716,1.677389,114
49,11717,1.677389,114
49,12593,1.677389,114
49,12594,1.677389,114
49,12595,1.677389,114
49,12596,1.677389,114
49,12597,1.677389,114
49,12598,1.677389,114
49,12603,1.677389,114
49,12604,1.677389,114
49,12608,1.677389,114
49,12609,1.677389,114
49,12685,1.677389,114
49,12686,1.677389,114
49,12687,1.677389,114
49,12688,1.677389,114
49,12714,1.677389,114
49,12715,1.677389,114
49,12716,1.677389,114
49,12774,1.677389,114
49,12775,1.677389,114
49,12776,1.677389,114
49,12777,1.677389,114
49,12778,1.677389,114
49,12779,1.677389,114
49,12780,1.677389,114
49,12782,1.677389,114
49,12783,1.677389,114
49,12784,1.677389,114
49,12785,1.677389,114
49,12786,1.677389,114
49,12787,1.677389,114
49,12788,1.677389,114
49,12789,1.677389,114
49,12790,1.677389,114
49,12791,1.677389,114
49,12792,1.677389,114
49,12793,1.677389,114
49,12794,1.677389,114
49,12796,1.677389,114
49,12797,1.677389,114
49,12802,1.677389,114
49,12809,1.677389,114
49,12810,1.677389,114
49,12811,1.677389,114
49,12846,1.677389,114
49,12847,1.677389,114
49,12852,1.677389,114
49,12853,1.677389,114
49,12854,1.677389,114
49,12855,1.677389,114
49,12856,1.677389,114
49,12857,1.677389,114
49,12858,1.677389,114
49,12860,1.677389,114
49,12861,1.677389,114
49,12862,1.677389,114
49,12863,1.677389,114
49,12864,1.677389,114
49,12866,1.677389,114
58,11911,1.677389,114
58,11915,1.677389,114
58,11916,1.677389,114
58,11917,1.677389,114
58,11918,1.677389,114
58,11919,1.677389,114
58,11920,1.677389,114
58,11921,1.677389,114
58,11931,1.677389,114
58,11932,1.677389,114
58,11933,1.677389,114
58,11936,1.677389,114
58,11937,1.677389,114
58,11938,1.677389,114
58,11939,1.677389,114
58,11940,1.677389,114
58,11941,1.677389,114
58,11942,1.677389,114
58,11945,1.677389,114
58,11946,1.677389,114
58,11957,1.677389,114
58,11958,1.677389,114
58,12008,1.677389,114
58,12029,1.677389,114
58,12030,1.677389,114
58,12031,1.677389,114
58,12032,1.677389,114
58,12033,1.677389,114
58,12105,1.677389,114
58,12106,1.677389,114
58,12108,1.677389,114
58,12109,1.677389,114
58,12110,1.677389,114
58,12111,1.677389,114
58,12112,1.677389,114
58,12113,1.677389,114
58,12115,1.677389,114
58,12116,1.677389,114
58,12125,1.677389,114
58,12126,1.677389,114
58,12127,1.677389,114
58,12128,1.677389,114
58,12135,1.677389,114
58,12136,1.677389,114
58,12137,1.677389,114
58,12138,1.677389,114
58,12139,1.677389,114
58,12140,1.677389,114
58,12141,1.677389,114
58,12144,1.677389,114
58,12145,1.677389,114
58,12146,1.677389,114
58,12147,1.677389,114
58,12148,1.677389,114
58,12167,1.677389,114
58,12169,1.677389,114
58,12170,1.677389,114
58,12171,1.677389,114
58,12172,1.677389,114
58,12189,1.677389,114
58,12190,1.677389,114
58,12191,1.677389,114
58,12193,1.677389,114
58,12194,1.677389,114
58,12205,1.677389,114
58,12227,1.677389,114
58,12296,1.677389,114
58,12329,1.677389,114
58,12384,1.677389,114
58,12385,1.677389,114
58,12386,1.677389,114
58,12387,1.677389,114
58,12391,1.677389,114
58,12393,1.677389,114
58,12394,1.677389,114
58,12395,1.677389,114
58,12398,1.677389,114
58,12399,1.677389,114
58,12400,1.677389,114
58,12401,1.677389,114
58,12402,1.677389,114
58,12403,1.677389,114
58,12404,1.677389,114
58,12405,1.677389,114
58,12406,1.677389,114
58,12407,1.677389,114
58,12408,1.677389,114
58,12409,1.677389,114
58,12410,1.677389,114
58,12411,1.677389,114
58,12412,1.677389,114
58,12413,1.677389,114
58,12414,1.677389,114
58,12415,1.677389,114
58,12427,1.677389,114
58,12442,1.677389,114
58,12443,1.677389,114
58,12444,1.677389,114
58,12445,1.677389,114
58,12446,1.677389,114
58,12447,1.677389,114
58,12448,1.677389,114
58,12449,1.677389,114
58,12450,1.677389,114
58,12451,1.677389,114
58,12452,1.677389,114
58,12453,1.677389,114
58,12454,1.677389,114
58,12455,1.677389,114
58,12456,1.677389,114
58,12457,1.677389,114
58,12458,1.677389,114
58,12459,1.677389,114
58,12460,1.677389,114
58,12461,1.677389,114
58,12465,1.677389,114
58,12466,1.677389,114
58,12467,1.677389,114
58,12468,1.677389,114
58,12469,1.677389,114
58,12470,1.677389,114
58,12480,1.677389,114
58,12481,1.677389,114
58,12482,1.677389,114
58,12483,1.677389,114
58,12484,1.677389,114
58,12485,1.677389,114
58,12486,1.677389,114
58,12669,1.677389,114
58,12670,1.677389,114
58,12672,1.677389,114
58,12673,1.677389,114
63,11065,1.677389,114
63,11066,1.677389,114
63,11067,1.677389,114
63,11068,1.677389,114
63,11069,1.677389,114
63,11070,1.677389,114
63,11071,1.677389,114
63,11072,1.677389,114
63,11073,1.677389,114
63,11074,1.677389,114
63,11075,1.677389,114
63,11076,1.677389,114
63,11077,1.677389,114
63,11078,1.677389,114
63,11079,1.677389,114
63,11080,1.677389,114
63,11102,1.677389,114
63,11103,1.677389,114
72,11123,1.677389,114
72,11124,1.677389,114
72,11125,1.677389,114
72,11126,1.677389,114
72,11127,1.677389,114
72,11261,1.677389,114
72,11265,1.677389,114
72,11266,1.677389,114
72,11267,1.677389,114
72,11268,1.677389,114
72,11269,1.677389,114
72,11270,1.677389,114
72,11271,1.677389,114
72,11273,1.677389,114
72,11274,1.677389,114
72,11380,1.677389,114
72,11393,1.677389,114
72,11394,1.677389,114
72,11395,1.677389,114
72,11396,1.677389,114
72,11398,1.677389,114
72,11399,1.677389,114
72,11400,1.677389,114
72,11401,1.677389,114
72,11402,1.677389,114
72,11403,1.677389,114
72,11404,1.677389,114
72,11405,1.677389,114
72,11431,1.677389,114
72,11432,1.677389,114
72,11433,1.677389,114
72,11434,1.677389,114
72,11435,1.677389,114
72,11436,1.677389,114
72,11437,1.677389,114
72,11443,1.677389,114
72,11444,1.677389,114
72,11446,1.677389,114
72,11447,1.677389,114
72,11448,1.677389,114
72,11449,1.677389,114
72,11450,1.677389,114
72,11452,1.677389,114
72,11463,1.677389,114
72,11464,1.677389,114
72,11465,1.677389,114
72,11466,1.677389,114
72,11467,1.677389,114
72,11468,1.677389,114
72,11469,1.677389,114
72,11470,1.677389,114
72,11471,1.677389,114
72,11472,1.677389,114
72,11477,1.677389,114
72,11480,1.677389,114
72,11481,1.677389,114
72,11482,1.677389,114
72,11483,1.677389,114
72,11484,1.677389,114
72,11485,1.677389,114
72,11487,1.677389,114
72,11654,1.677389,114
72,11655,1.677389,114
72,11827,1.677389,114
72,11828,1.677389,114
72,11829,1.677389,114
72,11830,1.677389,114
72,11831,1.677389,114
72,11832,1.677389,114
72,11833,1.677389,114
72,11834,1.677389,114
72,11835,1.677389,114
72,11836,1.677389,114
72,11837,1.677389,114
72,11838,1.677389,114
72,11839,1.677389,114
72,11840,1.677389,114
72,11841,1.677389,114
72,11842,1.677389,114
72,11843,1.677389,114
72,12505,1.677389,114
72,12506,1.677389,114
72,12513,1.677389,114
72,12514,1.677389,114
72,12516,1.677389,114
72,12517,1.677389,114
72,12518,1.677389,114
72,12519,1.677389,114
72,12520,1.677389,114
72,12521,1.677389,114
81,11162,1.677389,114
81,11163,1.677389,114
81,11164,1.677389,114
81,11165,1.677389,114
81,11166,1.677389,114
81,11167,1.677389,114
81,11168,1.677389,114
81,11171,1.677389,114
81,11582,1.677389,114
81,11583,1.677389,114
81,11584,1.677389,114
81,11587,1.677389,114
