#replica_num,sequence_num,w,w_nominal
13,76507,1.677389,114
13,76508,1.677389,114
32,74844,1.677389,114
32,75017,1.677389,114
32,75018,1.677389,114
32,75019,1.677389,114
32,75020,1.677389,114
32,75021,1.677389,114
32,75022,1.677389,114
32,75023,1.677389,114
32,75053,1.677389,114
32,75054,1.677389,114
32,75055,1.677389,114
32,75056,1.677389,114
32,75057,1.677389,114
32,75060,1.677389,114
32,75061,1.677389,114
32,75078,1.677389,114
32,75079,1.677389,114
32,75080,1.677389,114
32,75081,1.677389,114
32,75082,1.677389,114
32,75083,1.677389,114
32,75084,1.677389,114
32,75085,1.677389,114
32,75091,1.677389,114
32,75095,1.677389,114
32,75096,1.677389,114
32,75097,1.677389,114
32,75102,1.677389,114
32,75103,1.677389,114
32,75104,1.677389,114
32,75105,1.677389,114
32,75106,1.677389,114
32,75107,1.677389,114
32,75108,1.677389,114
32,75112,1.677389,114
32,75113,1.677389,114
32,75114,1.677389,114
32,75149,1.677389,114
32,75150,1.677389,114
32,75151,1.677389,114
32,75152,1.677389,114
32,75153,1.677389,114
32,75154,1.677389,114
32,75155,1.677389,114
32,75156,1.677389,114
32,75157,1.677389,114
32,75158,1.677389,114
32,75159,1.677389,114
32,75164,1.677389,114
32,75165,1.677389,114
32,75166,1.677389,114
32,75167,1.677389,114
32,75168,1.677389,114
32,75187,1.677389,114
32,75188,1.677389,114
32,75189,1.677389,114
32,75190,1.677389,114
32,75191,1.677389,114
32,75192,1.677389,114
32,75193,1.677389,114
32,75194,1.677389,114
32,75195,1.677389,114
42,75000,1.677389,114
42,75003,1.677389,114
42,75004,1.677389,114
42,75005,1.677389,114
42,75006,1.677389,114
42,75144,1.677389,114
42,75145,1.677389,114
42,75146,1.677389,114
42,75147,1.677389,114
42,75367,1.677389,114
42,75368,1.677389,114
42,75369,1.677389,114
42,75370,1.677389,114
42,75371,1.677389,114
42,75401,1.677389,114
42,75404,1.677389,114
42,76643,1.677389,114
42,76644,1.677389,114
42,76645,1.677389,114
42,76656,1.677389,114
42,76657,1.677389,114
42,76658,1.677389,114
42,76659,1.677389,114
42,76662,1.677389,114
42,76663,1.677389,114
42,76664,1.677389,114
42,76665,1.677389,114
42,76666,1.677389,114
42,76667,1.677389,114
42,76668,1.677389,114
