#replica_num,sequence_num,w,w_nominal
1,91521,1.677389,114
1,91522,1.677389,114
1,91523,1.677389,114
1,91524,1.677389,114
1,91525,1.677389,114
1,91527,1.677389,114
1,91528,1.677389,114
1,91529,1.677389,114
1,91530,1.677389,114
1,91531,1.677389,114
1,91539,1.677389,114
1,91540,1.677389,114
1,91541,1.677389,114
1,91542,1.677389,114
1,91543,1.677389,114
1,91544,1.677389,114
1,91545,1.677389,114
1,91549,1.677389,114
1,91550,1.677389,114
1,91551,1.677389,114
1,91554,1.677389,114
1,91555,1.677389,114
1,91556,1.677389,114
1,91560,1.677389,114
1,91562,1.677389,114
1,91563,1.677389,114
1,91565,1.677389,114
1,91566,1.677389,114
1,91568,1.677389,114
1,91569,1.677389,114
1,91570,1.677389,114
1,91575,1.677389,114
1,91576,1.677389,114
1,91577,1.677389,114
1,91578,1.677389,114
1,91579,1.677389,114
1,91594,1.677389,114
1,91595,1.677389,114
1,91596,1.677389,114
1,91597,1.677389,114
1,91598,1.677389,114
1,91602,1.677389,114
1,91603,1.677389,114
1,91604,1.677389,114
1,91605,1.677389,114
1,91606,1.677389,114
1,91607,1.677389,114
1,91608,1.677389,114
1,97522,1.677389,114
1,97526,1.677389,114
1,97527,1.677389,114
1,97528,1.677389,114
1,97529,1.677389,114
1,97530,1.677389,114
1,97531,1.677389,114
1,97532,1.677389,114
1,97533,1.677389,114
1,97534,1.677389,114
1,97535,1.677389,114
1,97536,1.677389,114
1,97537,1.677389,114
1,97538,1.677389,114
1,97539,1.677389,114
1,97540,1.677389,114
1,97568,1.677389,114
1,97569,1.677389,114
1,97570,1.677389,114
1,97571,1.677389,114
1,97572,1.677389,114
1,97573,1.677389,114
1,97668,1.677389,114
4,95391,1.677389,114
4,95392,1.677389,114
4,95393,1.677389,114
4,95395,1.677389,114
4,95397,1.677389,114
4,95398,1.677389,114
4,95402,1.677389,114
4,95403,1.677389,114
4,95404,1.677389,114
4,95405,1.677389,114
4,95406,1.677389,114
4,95407,1.677389,114
4,95409,1.677389,114
4,95410,1.677389,114
4,95411,1.677389,114
4,95417,1.677389,114
4,95418,1.677389,114
4,95420,1.677389,114
4,95424,1.677389,114
4,95426,1.677389,114
4,95427,1.677389,114
4,95616,1.677389,114
4,95648,1.677389,114
4,95649,1.677389,114
4,95652,1.677389,114
4,95653,1.677389,114
4,95654,1.677389,114
4,95660,1.677389,114
4,95661,1.677389,114
4,95662,1.677389,114
4,95672,1.677389,114
4,95865,1.677389,114
