#replica_num,sequence_num,w,w_nominal
10,73795,1.677389,114
10,73799,1.677389,114
10,73800,1.677389,114
10,73801,1.677389,114
10,73802,1.677389,114
10,73803,1.677389,114
17,73771,1.677389,114
17,74013,1.677389,114
17,74014,1.677389,114
17,74015,1.677389,114
17,74016,1.677389,114
17,74017,1.677389,114
17,74018,1.677389,114
17,74019,1.677389,114
17,74021,1.677389,114
17,74022,1.677389,114
17,74023,1.677389,114
17,74024,1.677389,114
17,74025,1.677389,114
17,74026,1.677389,114
17,74027,1.677389,114
17,74028,1.677389,114
17,74029,1.677389,114
17,74030,1.677389,114
17,74031,1.677389,114
17,74032,1.677389,114
17,74033,1.677389,114
17,74077,1.677389,114
17,74081,1.677389,114
17,74088,1.677389,114
17,74090,1.677389,114
17,74091,1.677389,114
17,74092,1.677389,114
17,74093,1.677389,114
17,74094,1.677389,114
17,74095,1.677389,114
17,74096,1.677389,114
17,74097,1.677389,114
17,74098,1.677389,114
17,74099,1.677389,114
17,74100,1.677389,114
17,74101,1.677389,114
17,74102,1.677389,114
17,74103,1.677389,114
17,74104,1.677389,114
17,74105,1.677389,114
17,74106,1.677389,114
17,74107,1.677389,114
17,74108,1.677389,114
17,74109,1.677389,114
17,74110,1.677389,114
17,74111,1.677389,114
17,74112,1.677389,114
17,74113,1.677389,114
17,74114,1.677389,114
17,74118,1.677389,114
17,74119,1.677389,114
17,74121,1.677389,114
17,74122,1.677389,114
17,74123,1.677389,114
17,74176,1.677389,114
17,74177,1.677389,114
17,74178,1.677389,114
17,74179,1.677389,114
17,74180,1.677389,114
17,74181,1.677389,114
17,74182,1.677389,114
17,74183,1.677389,114
17,74203,1.677389,114
17,74266,1.677389,114
17,74282,1.677389,114
17,74285,1.677389,114
17,74286,1.677389,114
17,74287,1.677389,114
17,74288,1.677389,114
17,74290,1.677389,114
17,74294,1.677389,114
17,74295,1.677389,114
17,74309,1.677389,114
17,74310,1.677389,114
42,73855,1.677389,114
42,73856,1.677389,114
42,73857,1.677389,114
42,73858,1.677389,114
42,73859,1.677389,114
42,73860,1.677389,114
42,73862,1.677389,114
42,73863,1.677389,114
42,73864,1.677389,114
42,73865,1.677389,114
42,73866,1.677389,114
42,73881,1.677389,114
42,73882,1.677389,114
42,73883,1.677389,114
42,73884,1.677389,114
42,73885,1.677389,114
42,73895,1.677389,114
42,73906,1.677389,114
42,73907,1.677389,114
42,73908,1.677389,114
42,73909,1.677389,114
42,73910,1.677389,114
42,73911,1.677389,114
42,73913,1.677389,114
42,73914,1.677389,114
42,73915,1.677389,114
42,73916,1.677389,114
42,73917,1.677389,114
42,73918,1.677389,114
42,73919,1.677389,114
42,73920,1.677389,114
42,73921,1.677389,114
42,73922,1.677389,114
42,73923,1.677389,114
42,73924,1.677389,114
42,73925,1.677389,114
42,73926,1.677389,114
42,73950,1.677389,114
42,73960,1.677389,114
42,73961,1.677389,114
42,73962,1.677389,114
42,73963,1.677389,114
42,73964,1.677389,114
42,73966,1.677389,114
42,73967,1.677389,114
42,73968,1.677389,114
42,73969,1.677389,114
42,73970,1.677389,114
42,73971,1.677389,114
42,73982,1.677389,114
42,74221,1.677389,114
42,74222,1.677389,114
42,74417,1.677389,114
42,74418,1.677389,114
42,74427,1.677389,114
42,74428,1.677389,114
42,74429,1.677389,114
42,74430,1.677389,114
42,74431,1.677389,114
42,74432,1.677389,114
42,74494,1.677389,114
42,74495,1.677389,114
42,74496,1.677389,114
42,74497,1.677389,114
42,74498,1.677389,114
42,74501,1.677389,114
42,74502,1.677389,114
42,74503,1.677389,114
42,74504,1.677389,114
42,74505,1.677389,114
42,74506,1.677389,114
42,74507,1.677389,114
42,74508,1.677389,114
42,74509,1.677389,114
42,74510,1.677389,114
42,74511,1.677389,114
42,74512,1.677389,114
42,74513,1.677389,114
42,74514,1.677389,114
42,74519,1.677389,114
42,74520,1.677389,114
42,74521,1.677389,114
42,74522,1.677389,114
42,74552,1.677389,114
42,74553,1.677389,114
42,74559,1.677389,114
42,74560,1.677389,114
42,74563,1.677389,114
42,74564,1.677389,114
42,74565,1.677389,114
42,74566,1.677389,114
42,74567,1.677389,114
42,74568,1.677389,114
42,74569,1.677389,114
42,74570,1.677389,114
42,74571,1.677389,114
42,74572,1.677389,114
42,74573,1.677389,114
42,74574,1.677389,114
42,74575,1.677389,114
42,74576,1.677389,114
42,74579,1.677389,114
42,74580,1.677389,114
42,74692,1.677389,114
42,74693,1.677389,114
42,74702,1.677389,114
42,74703,1.677389,114
42,74704,1.677389,114
42,74713,1.677389,114
42,74714,1.677389,114
42,74715,1.677389,114
42,74716,1.677389,114
42,74717,1.677389,114
42,74718,1.677389,114
42,74719,1.677389,114
42,74720,1.677389,114
42,74721,1.677389,114
42,74722,1.677389,114
42,74724,1.677389,114
42,74726,1.677389,114
42,74730,1.677389,114
42,74731,1.677389,114
42,74775,1.677389,114
42,74776,1.677389,114
42,74777,1.677389,114
42,74778,1.677389,114
42,74779,1.677389,114
42,74780,1.677389,114
42,74781,1.677389,114
42,74782,1.677389,114
42,74783,1.677389,114
42,74784,1.677389,114
42,74785,1.677389,114
42,74786,1.677389,114
42,74787,1.677389,114
43,74691,1.677389,114
43,74692,1.677389,114
43,74693,1.677389,114
43,74694,1.677389,114
43,74695,1.677389,114
43,74696,1.677389,114
43,74697,1.677389,114
43,74698,1.677389,114
43,74699,1.677389,114
43,74700,1.677389,114
43,74703,1.677389,114
48,74585,1.677389,114
48,74586,1.677389,114
48,74587,1.677389,114
48,74588,1.677389,114
48,74589,1.677389,114
48,74590,1.677389,114
48,74591,1.677389,114
48,74597,1.677389,114
48,74598,1.677389,114
48,74599,1.677389,114
48,74601,1.677389,114
48,74602,1.677389,114
48,74603,1.677389,114
48,74604,1.677389,114
48,74605,1.677389,114
48,74606,1.677389,114
48,74613,1.677389,114
48,74618,1.677389,114
48,74619,1.677389,114
48,74621,1.677389,114
48,74630,1.677389,114
48,74631,1.677389,114
48,74632,1.677389,114
48,74645,1.677389,114
48,74646,1.677389,114
48,74648,1.677389,114
48,74681,1.677389,114
48,74682,1.677389,114
48,74683,1.677389,114
48,74684,1.677389,114
48,74685,1.677389,114
48,74686,1.677389,114
48,74687,1.677389,114
48,74688,1.677389,114
48,74704,1.677389,114
48,74705,1.677389,114
48,74720,1.677389,114
48,74722,1.677389,114
48,74724,1.677389,114
48,74726,1.677389,114
60,74059,1.677389,114
60,74060,1.677389,114
60,74061,1.677389,114
60,74063,1.677389,114
60,74064,1.677389,114
60,74065,1.677389,114
60,74070,1.677389,114
60,74071,1.677389,114
60,74072,1.677389,114
60,74073,1.677389,114
60,74074,1.677389,114
60,74075,1.677389,114
60,74076,1.677389,114
60,74077,1.677389,114
60,74120,1.677389,114
60,74121,1.677389,114
60,74122,1.677389,114
60,74123,1.677389,114
60,74124,1.677389,114
60,74125,1.677389,114
60,74128,1.677389,114
60,74129,1.677389,114
60,74130,1.677389,114
60,74131,1.677389,114
60,74132,1.677389,114
60,74133,1.677389,114
60,74134,1.677389,114
60,74135,1.677389,114
60,74136,1.677389,114
60,74186,1.677389,114
60,74187,1.677389,114
60,74188,1.677389,114
60,74189,1.677389,114
60,74190,1.677389,114
60,74241,1.677389,114
60,74242,1.677389,114
60,74243,1.677389,114
60,74244,1.677389,114
60,74245,1.677389,114
60,74248,1.677389,114
60,74249,1.677389,114
60,74250,1.677389,114
60,74251,1.677389,114
60,74253,1.677389,114
60,74276,1.677389,114
60,74277,1.677389,114
60,74278,1.677389,114
60,74279,1.677389,114
60,74281,1.677389,114
60,74622,1.677389,114
60,74623,1.677389,114
62,73928,1.677389,114
62,73935,1.677389,114
62,73936,1.677389,114
62,73938,1.677389,114
62,73941,1.677389,114
62,73942,1.677389,114
62,73943,1.677389,114
62,73944,1.677389,114
74,73836,1.677389,114
74,73837,1.677389,114
74,74799,1.677389,114
74,74800,1.677389,114
74,74801,1.677389,114
74,74806,1.677389,114
74,74807,1.677389,114
74,74808,1.677389,114
74,74809,1.677389,114
74,74810,1.677389,114
81,74123,1.677389,114
81,74124,1.677389,114
81,74157,1.677389,114
81,74445,1.677389,114
81,74446,1.677389,114
81,74447,1.677389,114
81,74448,1.677389,114
81,74449,1.677389,114
81,74450,1.677389,114
81,74451,1.677389,114
81,74452,1.677389,114
81,74453,1.677389,114
81,74454,1.677389,114
81,74455,1.677389,114
81,74456,1.677389,114
81,74457,1.677389,114
81,74458,1.677389,114
81,74459,1.677389,114
81,74460,1.677389,114
81,74461,1.677389,114
81,74462,1.677389,114
81,74470,1.677389,114
81,74471,1.677389,114
81,74472,1.677389,114
81,74477,1.677389,114
81,74478,1.677389,114
81,74479,1.677389,114
81,74804,1.677389,114
81,74805,1.677389,114
81,74806,1.677389,114
81,74807,1.677389,114
81,74808,1.677389,114
81,74809,1.677389,114
92,73804,1.677389,114
92,73805,1.677389,114
92,73806,1.677389,114
92,73809,1.677389,114
92,73810,1.677389,114
92,73814,1.677389,114
92,73815,1.677389,114
92,73825,1.677389,114
92,73826,1.677389,114
92,73827,1.677389,114
92,73828,1.677389,114
92,73829,1.677389,114
92,73830,1.677389,114
92,73835,1.677389,114
92,73836,1.677389,114
92,73837,1.677389,114
92,73838,1.677389,114
92,73839,1.677389,114
92,73840,1.677389,114
92,73841,1.677389,114
92,73842,1.677389,114
92,73843,1.677389,114
92,73844,1.677389,114
92,73853,1.677389,114
92,73854,1.677389,114
92,73855,1.677389,114
92,73866,1.677389,114
92,73867,1.677389,114
92,73868,1.677389,114
92,73870,1.677389,114
92,73871,1.677389,114
92,73872,1.677389,114
92,73873,1.677389,114
92,73874,1.677389,114
92,73875,1.677389,114
93,74065,1.677389,114
93,74066,1.677389,114
93,74067,1.677389,114
93,74073,1.677389,114
93,74074,1.677389,114
93,74075,1.677389,114
93,74076,1.677389,114
93,74077,1.677389,114
93,74078,1.677389,114
93,74083,1.677389,114
93,74084,1.677389,114
93,74085,1.677389,114
93,74086,1.677389,114
93,74087,1.677389,114
93,74147,1.677389,114
93,74148,1.677389,114
93,74152,1.677389,114
93,74154,1.677389,114
93,74155,1.677389,114
93,74156,1.677389,114
93,74158,1.677389,114
93,74159,1.677389,114
93,74160,1.677389,114
93,74161,1.677389,114
93,74162,1.677389,114
93,74163,1.677389,114
93,74164,1.677389,114
93,74165,1.677389,114
93,74166,1.677389,114
93,74169,1.677389,114
93,74170,1.677389,114
93,74172,1.677389,114
93,74173,1.677389,114
93,74174,1.677389,114
93,74452,1.677389,114
93,74453,1.677389,114
93,74454,1.677389,114
93,74455,1.677389,114
93,74458,1.677389,114
93,74459,1.677389,114
93,74460,1.677389,114
93,74461,1.677389,114
93,74466,1.677389,114
93,74467,1.677389,114
93,74468,1.677389,114
96,73968,1.677389,114
96,73969,1.677389,114
96,73970,1.677389,114
96,73971,1.677389,114
96,73972,1.677389,114
96,73973,1.677389,114
96,73974,1.677389,114
96,73975,1.677389,114
96,73976,1.677389,114
96,73977,1.677389,114
96,73978,1.677389,114
96,74054,1.677389,114
98,74132,1.677389,114
98,74133,1.677389,114
98,74134,1.677389,114
98,74135,1.677389,114
98,74139,1.677389,114
98,74140,1.677389,114
98,74141,1.677389,114
98,74142,1.677389,114
98,74143,1.677389,114
98,74238,1.677389,114
98,74241,1.677389,114
98,74242,1.677389,114
98,74243,1.677389,114
98,74244,1.677389,114
98,74257,1.677389,114
98,74258,1.677389,114
98,74259,1.677389,114
98,74287,1.677389,114
98,74288,1.677389,114
98,74289,1.677389,114
98,74290,1.677389,114
98,74291,1.677389,114
98,74292,1.677389,114
98,74293,1.677389,114
98,74294,1.677389,114
98,74298,1.677389,114
98,74299,1.677389,114
98,74300,1.677389,114
98,74301,1.677389,114
98,74302,1.677389,114
98,74303,1.677389,114
98,74305,1.677389,114
