#replica_num,sequence_num,w,w_nominal
1,118031,1.677389,114
1,118032,1.677389,114
1,118037,1.677389,114
1,118043,1.677389,114
1,118044,1.677389,114
1,118045,1.677389,114
1,118046,1.677389,114
1,118063,1.677389,114
1,118079,1.677389,114
1,118080,1.677389,114
1,118090,1.677389,114
1,118091,1.677389,114
1,118092,1.677389,114
1,118105,1.677389,114
1,118106,1.677389,114
1,118177,1.677389,114
1,118178,1.677389,114
1,118179,1.677389,114
1,118180,1.677389,114
1,118185,1.677389,114
1,118188,1.677389,114
1,118189,1.677389,114
1,118193,1.677389,114
1,118238,1.677389,114
1,118243,1.677389,114
1,118248,1.677389,114
1,118249,1.677389,114
1,118250,1.677389,114
1,118251,1.677389,114
1,118257,1.677389,114
1,118258,1.677389,114
1,118259,1.677389,114
1,118261,1.677389,114
1,118262,1.677389,114
1,118263,1.677389,114
1,118264,1.677389,114
1,118265,1.677389,114
1,118266,1.677389,114
1,118267,1.677389,114
1,118268,1.677389,114
1,118269,1.677389,114
1,118270,1.677389,114
1,118271,1.677389,114
1,118272,1.677389,114
1,118273,1.677389,114
1,118274,1.677389,114
1,118275,1.677389,114
1,118276,1.677389,114
1,118278,1.677389,114
1,118279,1.677389,114
1,118280,1.677389,114
1,118324,1.677389,114
1,118327,1.677389,114
1,118328,1.677389,114
1,118343,1.677389,114
1,118344,1.677389,114
1,118345,1.677389,114
1,118458,1.677389,114
1,118459,1.677389,114
1,118460,1.677389,114
1,118461,1.677389,114
1,118462,1.677389,114
1,118463,1.677389,114
1,118467,1.677389,114
1,118468,1.677389,114
1,118469,1.677389,114
1,118471,1.677389,114
1,118472,1.677389,114
1,118474,1.677389,114
1,118475,1.677389,114
1,118476,1.677389,114
1,118477,1.677389,114
1,118483,1.677389,114
1,118484,1.677389,114
1,118485,1.677389,114
1,118486,1.677389,114
1,118487,1.677389,114
1,118488,1.677389,114
1,118491,1.677389,114
1,118492,1.677389,114
1,118493,1.677389,114
1,118498,1.677389,114
1,118499,1.677389,114
1,118500,1.677389,114
1,118501,1.677389,114
1,118508,1.677389,114
1,118516,1.677389,114
1,118517,1.677389,114
1,118521,1.677389,114
1,118522,1.677389,114
1,118523,1.677389,114
1,118608,1.677389,114
1,118759,1.677389,114
1,118760,1.677389,114
1,118761,1.677389,114
1,118769,1.677389,114
1,118770,1.677389,114
1,118771,1.677389,114
1,118772,1.677389,114
1,118773,1.677389,114
1,118774,1.677389,114
1,118775,1.677389,114
1,118777,1.677389,114
1,118788,1.677389,114
1,122488,1.677389,114
1,122489,1.677389,114
1,122490,1.677389,114
1,122491,1.677389,114
1,122492,1.677389,114
1,122493,1.677389,114
1,122494,1.677389,114
1,122495,1.677389,114
1,122496,1.677389,114
4,113174,1.677389,114
4,113175,1.677389,114
4,113176,1.677389,114
4,113177,1.677389,114
4,113178,1.677389,114
4,113179,1.677389,114
4,113180,1.677389,114
4,113181,1.677389,114
4,113182,1.677389,114
4,113183,1.677389,114
4,113184,1.677389,114
4,113196,1.677389,114
4,113198,1.677389,114
4,113208,1.677389,114
4,113209,1.677389,114
4,113210,1.677389,114
4,113211,1.677389,114
4,113212,1.677389,114
4,113213,1.677389,114
4,113226,1.677389,114
4,113227,1.677389,114
4,113234,1.677389,114
4,113235,1.677389,114
4,113254,1.677389,114
4,113255,1.677389,114
4,113256,1.677389,114
4,113257,1.677389,114
4,113260,1.677389,114
4,113261,1.677389,114
4,113262,1.677389,114
4,113263,1.677389,114
4,113264,1.677389,114
4,113265,1.677389,114
4,113266,1.677389,114
4,113267,1.677389,114
4,113268,1.677389,114
4,113269,1.677389,114
4,113270,1.677389,114
4,113271,1.677389,114
4,113279,1.677389,114
4,113280,1.677389,114
4,113281,1.677389,114
4,113282,1.677389,114
4,113285,1.677389,114
4,113286,1.677389,114
4,113287,1.677389,114
4,113288,1.677389,114
4,113289,1.677389,114
4,113292,1.677389,114
4,113293,1.677389,114
4,113294,1.677389,114
4,113295,1.677389,114
4,113296,1.677389,114
4,113300,1.677389,114
4,113301,1.677389,114
4,113302,1.677389,114
4,113303,1.677389,114
4,113304,1.677389,114
4,113305,1.677389,114
4,113306,1.677389,114
4,113307,1.677389,114
4,113308,1.677389,114
4,113309,1.677389,114
4,113310,1.677389,114
4,113311,1.677389,114
4,113312,1.677389,114
4,113316,1.677389,114
4,113317,1.677389,114
4,113318,1.677389,114
4,113319,1.677389,114
4,113320,1.677389,114
4,113321,1.677389,114
4,113322,1.677389,114
4,113323,1.677389,114
4,113324,1.677389,114
4,113325,1.677389,114
4,113326,1.677389,114
4,113327,1.677389,114
4,113328,1.677389,114
4,113329,1.677389,114
4,113330,1.677389,114
4,113331,1.677389,114
4,113332,1.677389,114
4,113333,1.677389,114
4,113334,1.677389,114
4,113354,1.677389,114
4,113357,1.677389,114
4,113358,1.677389,114
4,113359,1.677389,114
4,113360,1.677389,114
4,113361,1.677389,114
4,113362,1.677389,114
4,113363,1.677389,114
4,113364,1.677389,114
4,113365,1.677389,114
4,113366,1.677389,114
4,113367,1.677389,114
4,113368,1.677389,114
4,113369,1.677389,114
4,113370,1.677389,114
4,113371,1.677389,114
4,113389,1.677389,114
4,113392,1.677389,114
4,113395,1.677389,114
4,113398,1.677389,114
4,113399,1.677389,114
4,113401,1.677389,114
4,113410,1.677389,114
4,113411,1.677389,114
4,113412,1.677389,114
4,113413,1.677389,114
4,113414,1.677389,114
4,113415,1.677389,114
4,113416,1.677389,114
4,113417,1.677389,114
