#replica_num,sequence_num,w,w_nominal
4,41936,1.677389,114
4,41937,1.677389,114
4,41938,1.677389,114
4,41939,1.677389,114
4,41940,1.677389,114
4,41941,1.677389,114
4,41942,1.677389,114
4,41943,1.677389,114
4,41944,1.677389,114
4,41945,1.677389,114
4,41946,1.677389,114
4,41947,1.677389,114
4,41948,1.677389,114
4,41953,1.677389,114
4,41954,1.677389,114
4,41988,1.677389,114
4,41989,1.677389,114
4,42164,1.677389,114
4,42165,1.677389,114
4,42166,1.677389,114
4,42167,1.677389,114
4,42234,1.677389,114
4,42235,1.677389,114
4,42236,1.677389,114
4,42237,1.677389,114
4,42238,1.677389,114
4,42239,1.677389,114
4,42241,1.677389,114
4,42242,1.677389,114
4,42243,1.677389,114
4,42244,1.677389,114
4,42245,1.677389,114
4,42246,1.677389,114
4,42247,1.677389,114
4,42248,1.677389,114
4,42249,1.677389,114
4,42250,1.677389,114
4,42272,1.677389,114
4,42273,1.677389,114
4,42371,1.677389,114
4,42763,1.677389,114
4,42764,1.677389,114
4,42765,1.677389,114
4,42766,1.677389,114
4,42767,1.677389,114
4,42768,1.677389,114
4,42771,1.677389,114
4,42773,1.677389,114
4,42774,1.677389,114
4,42775,1.677389,114
4,42778,1.677389,114
4,42779,1.677389,114
4,42818,1.677389,114
4,42819,1.677389,114
4,42820,1.677389,114
4,42821,1.677389,114
4,42856,1.677389,114
4,42917,1.677389,114
4,43047,1.677389,114
4,43055,1.677389,114
4,43056,1.677389,114
4,43057,1.677389,114
4,43129,1.677389,114
4,43130,1.677389,114
4,43131,1.677389,114
4,43132,1.677389,114
4,43135,1.677389,114
4,43136,1.677389,114
4,43137,1.677389,114
4,43138,1.677389,114
4,43139,1.677389,114
4,43140,1.677389,114
4,43141,1.677389,114
4,43142,1.677389,114
4,43143,1.677389,114
4,43144,1.677389,114
4,43145,1.677389,114
4,43146,1.677389,114
4,43259,1.677389,114
4,43260,1.677389,114
4,43261,1.677389,114
4,43262,1.677389,114
4,43268,1.677389,114
4,45446,1.677389,114
4,45447,1.677389,114
4,45449,1.677389,114
4,45451,1.677389,114
4,45452,1.677389,114
4,45453,1.677389,114
4,45454,1.677389,114
4,45455,1.677389,114
4,45456,1.677389,114
4,45457,1.677389,114
4,45460,1.677389,114
4,45461,1.677389,114
4,45462,1.677389,114
4,45463,1.677389,114
4,45464,1.677389,114
4,45465,1.677389,114
4,45466,1.677389,114
4,45467,1.677389,114
4,45468,1.677389,114
4,45469,1.677389,114
4,45470,1.677389,114
4,45471,1.677389,114
4,45472,1.677389,114
4,45475,1.677389,114
4,45479,1.677389,114
4,45480,1.677389,114
4,45495,1.677389,114
4,45496,1.677389,114
4,45497,1.677389,114
4,45498,1.677389,114
4,45514,1.677389,114
4,45515,1.677389,114
4,46596,1.677389,114
4,46597,1.677389,114
4,46598,1.677389,114
4,46599,1.677389,114
4,46600,1.677389,114
4,46602,1.677389,114
4,46603,1.677389,114
4,46604,1.677389,114
4,46605,1.677389,114
4,46606,1.677389,114
4,46607,1.677389,114
4,46608,1.677389,114
4,46609,1.677389,114
4,46611,1.677389,114
4,46617,1.677389,114
4,46618,1.677389,114
4,46666,1.677389,114
4,46667,1.677389,114
4,46668,1.677389,114
8,41186,1.677389,114
8,41187,1.677389,114
8,41188,1.677389,114
8,41189,1.677389,114
8,41190,1.677389,114
8,41193,1.677389,114
8,41194,1.677389,114
8,41195,1.677389,114
8,41196,1.677389,114
8,41197,1.677389,114
8,41198,1.677389,114
8,41199,1.677389,114
8,41200,1.677389,114
8,41201,1.677389,114
8,41202,1.677389,114
8,41203,1.677389,114
8,41204,1.677389,114
8,41205,1.677389,114
8,41206,1.677389,114
8,41211,1.677389,114
8,41212,1.677389,114
8,41213,1.677389,114
8,41214,1.677389,114
8,41363,1.677389,114
8,41387,1.677389,114
8,41388,1.677389,114
8,41403,1.677389,114
8,41404,1.677389,114
8,41405,1.677389,114
8,41406,1.677389,114
8,41419,1.677389,114
8,41420,1.677389,114
8,41421,1.677389,114
8,41422,1.677389,114
8,41423,1.677389,114
8,41424,1.677389,114
8,41426,1.677389,114
8,41427,1.677389,114
8,41428,1.677389,114
8,41429,1.677389,114
8,41430,1.677389,114
8,41431,1.677389,114
8,41432,1.677389,114
8,41433,1.677389,114
8,41434,1.677389,114
8,41435,1.677389,114
8,41436,1.677389,114
8,41437,1.677389,114
8,41551,1.677389,114
8,41552,1.677389,114
8,41553,1.677389,114
8,41567,1.677389,114
8,41568,1.677389,114
8,41569,1.677389,114
8,41570,1.677389,114
8,41571,1.677389,114
8,41572,1.677389,114
8,41573,1.677389,114
8,41574,1.677389,114
8,41575,1.677389,114
8,41589,1.677389,114
8,41590,1.677389,114
8,41591,1.677389,114
8,41592,1.677389,114
8,41593,1.677389,114
8,41594,1.677389,114
8,41595,1.677389,114
8,41601,1.677389,114
8,41824,1.677389,114
8,41825,1.677389,114
8,41828,1.677389,114
8,41831,1.677389,114
8,41832,1.677389,114
8,41833,1.677389,114
8,41834,1.677389,114
8,41842,1.677389,114
8,41847,1.677389,114
8,41856,1.677389,114
8,41857,1.677389,114
8,41858,1.677389,114
8,41859,1.677389,114
8,41860,1.677389,114
8,41861,1.677389,114
8,41862,1.677389,114
8,41863,1.677389,114
8,41866,1.677389,114
8,41877,1.677389,114
8,41880,1.677389,114
8,41977,1.677389,114
8,41978,1.677389,114
8,41983,1.677389,114
8,41984,1.677389,114
8,41985,1.677389,114
8,41986,1.677389,114
8,41987,1.677389,114
8,41988,1.677389,114
8,41991,1.677389,114
8,42011,1.677389,114
8,42012,1.677389,114
8,42013,1.677389,114
8,42014,1.677389,114
8,42015,1.677389,114
8,42016,1.677389,114
8,42023,1.677389,114
8,42024,1.677389,114
8,42025,1.677389,114
8,42027,1.677389,114
8,42028,1.677389,114
8,42035,1.677389,114
8,42083,1.677389,114
8,42084,1.677389,114
8,42085,1.677389,114
8,42086,1.677389,114
8,42109,1.677389,114
