#replica_num,sequence_num,w,w_nominal
1,97687,1.677389,114
1,97688,1.677389,114
1,97720,1.677389,114
1,97721,1.677389,114
1,97722,1.677389,114
1,97723,1.677389,114
1,97724,1.677389,114
1,97725,1.677389,114
1,97726,1.677389,114
1,97727,1.677389,114
1,97728,1.677389,114
1,97729,1.677389,114
1,97730,1.677389,114
1,97731,1.677389,114
1,97732,1.677389,114
1,97733,1.677389,114
1,97748,1.677389,114
1,97754,1.677389,114
1,97767,1.677389,114
1,97769,1.677389,114
1,97770,1.677389,114
1,98000,1.677389,114
1,98001,1.677389,114
1,98002,1.677389,114
1,98003,1.677389,114
1,98011,1.677389,114
1,98012,1.677389,114
1,98013,1.677389,114
1,101201,1.677389,114
1,101202,1.677389,114
1,101203,1.677389,114
1,101277,1.677389,114
1,101278,1.677389,114
1,101279,1.677389,114
1,101280,1.677389,114
1,101281,1.677389,114
1,101293,1.677389,114
1,101294,1.677389,114
1,101295,1.677389,114
1,101315,1.677389,114
1,101321,1.677389,114
1,101322,1.677389,114
1,101323,1.677389,114
1,101324,1.677389,114
1,101325,1.677389,114
1,101326,1.677389,114
1,101343,1.677389,114
1,101344,1.677389,114
1,101345,1.677389,114
1,101346,1.677389,114
1,101347,1.677389,114
1,101348,1.677389,114
1,101349,1.677389,114
1,101350,1.677389,114
1,101351,1.677389,114
1,101352,1.677389,114
1,101353,1.677389,114
1,101354,1.677389,114
1,101355,1.677389,114
1,101356,1.677389,114
1,101371,1.677389,114
1,101372,1.677389,114
1,101373,1.677389,114
1,101374,1.677389,114
1,101376,1.677389,114
1,101377,1.677389,114
1,101378,1.677389,114
1,101383,1.677389,114
1,101384,1.677389,114
1,101385,1.677389,114
1,101455,1.677389,114
1,101456,1.677389,114
1,101457,1.677389,114
1,101458,1.677389,114
1,101466,1.677389,114
1,101467,1.677389,114
1,101468,1.677389,114
1,101469,1.677389,114
1,101470,1.677389,114
1,101471,1.677389,114
1,101472,1.677389,114
1,101523,1.677389,114
1,101524,1.677389,114
1,101687,1.677389,114
1,101688,1.677389,114
1,101689,1.677389,114
1,101714,1.677389,114
1,101715,1.677389,114
1,101732,1.677389,114
1,101733,1.677389,114
1,101735,1.677389,114
1,101736,1.677389,114
1,104076,1.677389,114
1,104077,1.677389,114
1,104078,1.677389,114
1,104079,1.677389,114
1,104080,1.677389,114
1,104081,1.677389,114
1,104082,1.677389,114
1,104090,1.677389,114
1,104091,1.677389,114
1,104092,1.677389,114
1,104094,1.677389,114
1,104095,1.677389,114
1,104096,1.677389,114
1,104097,1.677389,114
1,104098,1.677389,114
1,104099,1.677389,114
1,104100,1.677389,114
1,104101,1.677389,114
1,104102,1.677389,114
1,105060,1.677389,114
1,105061,1.677389,114
1,105062,1.677389,114
1,105063,1.677389,114
1,105064,1.677389,114
1,105065,1.677389,114
1,105067,1.677389,114
1,105085,1.677389,114
1,105086,1.677389,114
1,105087,1.677389,114
1,105089,1.677389,114
1,105090,1.677389,114
1,105091,1.677389,114
1,105092,1.677389,114
1,105093,1.677389,114
1,105094,1.677389,114
1,105095,1.677389,114
1,105098,1.677389,114
1,105123,1.677389,114
1,105148,1.677389,114
1,105155,1.677389,114
1,105158,1.677389,114
1,105159,1.677389,114
1,105165,1.677389,114
1,105166,1.677389,114
1,105167,1.677389,114
1,105168,1.677389,114
1,105169,1.677389,114
1,105170,1.677389,114
1,105171,1.677389,114
1,105179,1.677389,114
1,105247,1.677389,114
1,105248,1.677389,114
1,105249,1.677389,114
1,105250,1.677389,114
1,105251,1.677389,114
1,105252,1.677389,114
1,105254,1.677389,114
1,105256,1.677389,114
1,105257,1.677389,114
1,105258,1.677389,114
1,105373,1.677389,114
1,105374,1.677389,114
1,105375,1.677389,114
1,105376,1.677389,114
1,105377,1.677389,114
1,105383,1.677389,114
1,105384,1.677389,114
1,105609,1.677389,114
1,105610,1.677389,114
1,105611,1.677389,114
1,105612,1.677389,114
1,105613,1.677389,114
1,105614,1.677389,114
1,105615,1.677389,114
1,105617,1.677389,114
1,105618,1.677389,114
1,105619,1.677389,114
1,105620,1.677389,114
1,105621,1.677389,114
1,105622,1.677389,114
1,105624,1.677389,114
1,105631,1.677389,114
1,105632,1.677389,114
4,97798,1.677389,114
4,97799,1.677389,114
4,97801,1.677389,114
4,97802,1.677389,114
4,97803,1.677389,114
4,97804,1.677389,114
4,97805,1.677389,114
4,97806,1.677389,114
4,97807,1.677389,114
4,97808,1.677389,114
4,97809,1.677389,114
4,97824,1.677389,114
4,97825,1.677389,114
4,97826,1.677389,114
4,97830,1.677389,114
4,97831,1.677389,114
4,97832,1.677389,114
4,97833,1.677389,114
4,97834,1.677389,114
4,97835,1.677389,114
4,97836,1.677389,114
4,97837,1.677389,114
4,97838,1.677389,114
4,97839,1.677389,114
4,97845,1.677389,114
4,97935,1.677389,114
4,97937,1.677389,114
4,97938,1.677389,114
4,97942,1.677389,114
4,97943,1.677389,114
4,97944,1.677389,114
4,97945,1.677389,114
4,97946,1.677389,114
4,97947,1.677389,114
4,97948,1.677389,114
4,97949,1.677389,114
4,97956,1.677389,114
4,98002,1.677389,114
4,98003,1.677389,114
4,98004,1.677389,114
4,98008,1.677389,114
4,98009,1.677389,114
4,98010,1.677389,114
4,98011,1.677389,114
4,98012,1.677389,114
4,98013,1.677389,114
4,98014,1.677389,114
4,98015,1.677389,114
4,98016,1.677389,114
4,98017,1.677389,114
4,98018,1.677389,114
4,98019,1.677389,114
4,98020,1.677389,114
4,98021,1.677389,114
4,98022,1.677389,114
4,98023,1.677389,114
4,98024,1.677389,114
4,98025,1.677389,114
4,98026,1.677389,114
4,98052,1.677389,114
4,98053,1.677389,114
4,98054,1.677389,114
4,98055,1.677389,114
4,98063,1.677389,114
4,98064,1.677389,114
4,98065,1.677389,114
4,98071,1.677389,114
4,98094,1.677389,114
4,98095,1.677389,114
4,98096,1.677389,114
4,98097,1.677389,114
4,98098,1.677389,114
4,98099,1.677389,114
4,98100,1.677389,114
4,98101,1.677389,114
4,98102,1.677389,114
4,98103,1.677389,114
4,98104,1.677389,114
4,98105,1.677389,114
4,98106,1.677389,114
4,98107,1.677389,114
4,98108,1.677389,114
4,98109,1.677389,114
4,98153,1.677389,114
4,98179,1.677389,114
4,98412,1.677389,114
4,98413,1.677389,114
4,98426,1.677389,114
4,98427,1.677389,114
4,98429,1.677389,114
4,98430,1.677389,114
4,98431,1.677389,114
4,98432,1.677389,114
4,98433,1.677389,114
4,98434,1.677389,114
4,98435,1.677389,114
4,98438,1.677389,114
4,98451,1.677389,114
4,98455,1.677389,114
4,98456,1.677389,114
4,98457,1.677389,114
4,98458,1.677389,114
4,98459,1.677389,114
4,98460,1.677389,114
4,98461,1.677389,114
4,98462,1.677389,114
4,98463,1.677389,114
4,98464,1.677389,114
4,98465,1.677389,114
4,98476,1.677389,114
4,98490,1.677389,114
4,98491,1.677389,114
4,98492,1.677389,114
4,98534,1.677389,114
4,98535,1.677389,114
4,98536,1.677389,114
4,98537,1.677389,114
4,98538,1.677389,114
4,98539,1.677389,114
4,98540,1.677389,114
4,98545,1.677389,114
4,98546,1.677389,114
4,98547,1.677389,114
4,98548,1.677389,114
4,98706,1.677389,114
4,98713,1.677389,114
4,98724,1.677389,114
4,98725,1.677389,114
4,98726,1.677389,114
4,98730,1.677389,114
4,98731,1.677389,114
4,98732,1.677389,114
4,98752,1.677389,114
4,98768,1.677389,114
4,98769,1.677389,114
4,98770,1.677389,114
4,98771,1.677389,114
4,98772,1.677389,114
4,98774,1.677389,114
4,100011,1.677389,114
4,100284,1.677389,114
4,100285,1.677389,114
4,100289,1.677389,114
4,100290,1.677389,114
4,100291,1.677389,114
4,100292,1.677389,114
4,100293,1.677389,114
4,100294,1.677389,114
4,100295,1.677389,114
4,100376,1.677389,114
4,100377,1.677389,114
4,100386,1.677389,114
4,100392,1.677389,114
4,100396,1.677389,114
4,100401,1.677389,114
4,100402,1.677389,114
4,100403,1.677389,114
4,100404,1.677389,114
4,100405,1.677389,114
4,100421,1.677389,114
4,100423,1.677389,114
4,100424,1.677389,114
4,100425,1.677389,114
4,100435,1.677389,114
4,100436,1.677389,114
4,100437,1.677389,114
4,100438,1.677389,114
4,100439,1.677389,114
4,100440,1.677389,114
4,100441,1.677389,114
4,100442,1.677389,114
4,100443,1.677389,114
4,100466,1.677389,114
4,100467,1.677389,114
4,100469,1.677389,114
4,100470,1.677389,114
4,100471,1.677389,114
4,100473,1.677389,114
4,100474,1.677389,114
4,100475,1.677389,114
4,100476,1.677389,114
4,100504,1.677389,114
4,100507,1.677389,114
4,100508,1.677389,114
4,100539,1.677389,114
4,100540,1.677389,114
4,100541,1.677389,114
4,100542,1.677389,114
4,100543,1.677389,114
4,100544,1.677389,114
4,100545,1.677389,114
4,100546,1.677389,114
4,100547,1.677389,114
4,100548,1.677389,114
4,100549,1.677389,114
4,100550,1.677389,114
4,100553,1.677389,114
4,100554,1.677389,114
4,100555,1.677389,114
4,100556,1.677389,114
4,100557,1.677389,114
4,100558,1.677389,114
4,100560,1.677389,114
4,100562,1.677389,114
4,100563,1.677389,114
4,100564,1.677389,114
4,100565,1.677389,114
4,100566,1.677389,114
4,100567,1.677389,114
4,100568,1.677389,114
4,100569,1.677389,114
4,100570,1.677389,114
4,100584,1.677389,114
4,100585,1.677389,114
4,100586,1.677389,114
4,100587,1.677389,114
4,100601,1.677389,114
4,100602,1.677389,114
4,100603,1.677389,114
4,100604,1.677389,114
4,100605,1.677389,114
4,100606,1.677389,114
4,100607,1.677389,114
4,100608,1.677389,114
4,100609,1.677389,114
4,100610,1.677389,114
4,100611,1.677389,114
4,100612,1.677389,114
4,100614,1.677389,114
4,100615,1.677389,114
4,100617,1.677389,114
4,100618,1.677389,114
4,100623,1.677389,114
4,100654,1.677389,114
4,102423,1.677389,114
4,102632,1.677389,114
4,102633,1.677389,114
4,102634,1.677389,114
4,102635,1.677389,114
4,102636,1.677389,114
4,102637,1.677389,114
4,102639,1.677389,114
4,105981,1.677389,114
4,105982,1.677389,114
4,105983,1.677389,114
4,105984,1.677389,114
4,105985,1.677389,114
4,105995,1.677389,114
4,105996,1.677389,114
4,105997,1.677389,114
4,105998,1.677389,114
4,105999,1.677389,114
4,106000,1.677389,114
4,106001,1.677389,114
4,106002,1.677389,114
4,106003,1.677389,114
4,106008,1.677389,114
4,106009,1.677389,114
4,106010,1.677389,114
4,106018,1.677389,114
4,106019,1.677389,114
4,106026,1.677389,114
4,106027,1.677389,114
4,106028,1.677389,114
4,106029,1.677389,114
4,106030,1.677389,114
4,106031,1.677389,114
4,106122,1.677389,114
4,106130,1.677389,114
4,106131,1.677389,114
4,106132,1.677389,114
4,106133,1.677389,114
4,106134,1.677389,114
4,106135,1.677389,114
4,106136,1.677389,114
4,106137,1.677389,114
4,106138,1.677389,114
4,106140,1.677389,114
4,106141,1.677389,114
4,106142,1.677389,114
4,106143,1.677389,114
4,106144,1.677389,114
4,106145,1.677389,114
4,106146,1.677389,114
4,106147,1.677389,114
4,106148,1.677389,114
4,106149,1.677389,114
4,106150,1.677389,114
4,106151,1.677389,114
4,106152,1.677389,114
4,106202,1.677389,114
4,106203,1.677389,114
4,106204,1.677389,114
4,106205,1.677389,114
4,106206,1.677389,114
4,106207,1.677389,114
4,106209,1.677389,114
4,106210,1.677389,114
4,106211,1.677389,114
4,106222,1.677389,114
4,106223,1.677389,114
4,106224,1.677389,114
4,106226,1.677389,114
4,106227,1.677389,114
4,106863,1.677389,114
4,106881,1.677389,114
4,106882,1.677389,114
4,106885,1.677389,114
4,106886,1.677389,114
4,106887,1.677389,114
4,106888,1.677389,114
4,106889,1.677389,114
4,106890,1.677389,114
4,106891,1.677389,114
4,106892,1.677389,114
4,106901,1.677389,114
4,106902,1.677389,114
4,106903,1.677389,114
4,106904,1.677389,114
4,106905,1.677389,114
4,106906,1.677389,114
4,106907,1.677389,114
4,106908,1.677389,114
4,106909,1.677389,114
4,106910,1.677389,114
4,106911,1.677389,114
4,106912,1.677389,114
4,106913,1.677389,114
4,106917,1.677389,114
4,106918,1.677389,114
4,106922,1.677389,114
4,106923,1.677389,114
4,106928,1.677389,114
4,106929,1.677389,114
4,106930,1.677389,114
4,106931,1.677389,114
4,106932,1.677389,114
4,106933,1.677389,114
4,106949,1.677389,114
4,106956,1.677389,114
4,106957,1.677389,114
4,106958,1.677389,114
4,106968,1.677389,114
4,107074,1.677389,114
4,107077,1.677389,114
4,107474,1.677389,114
4,107475,1.677389,114
4,107476,1.677389,114
4,107484,1.677389,114
4,107485,1.677389,114
4,107486,1.677389,114
4,107487,1.677389,114
4,107488,1.677389,114
4,107489,1.677389,114
4,107735,1.677389,114
4,107736,1.677389,114
4,107737,1.677389,114
4,107738,1.677389,114
4,107751,1.677389,114
4,107771,1.677389,114
4,107772,1.677389,114
4,107773,1.677389,114
4,107774,1.677389,114
4,107775,1.677389,114
4,107776,1.677389,114
4,107777,1.677389,114
4,107778,1.677389,114
4,107779,1.677389,114
4,112716,1.677389,114
4,112717,1.677389,114
4,112718,1.677389,114
4,112719,1.677389,114
4,112720,1.677389,114
4,112721,1.677389,114
4,112838,1.677389,114
4,112844,1.677389,114
4,112845,1.677389,114
4,112846,1.677389,114
4,112848,1.677389,114
4,112849,1.677389,114
4,112850,1.677389,114
4,112851,1.677389,114
4,112852,1.677389,114
4,112853,1.677389,114
4,112856,1.677389,114
4,112857,1.677389,114
4,112858,1.677389,114
4,112859,1.677389,114
4,112860,1.677389,114
4,112881,1.677389,114
4,112882,1.677389,114
4,112883,1.677389,114
4,112884,1.677389,114
4,112885,1.677389,114
4,112886,1.677389,114
4,112887,1.677389,114
4,112897,1.677389,114
4,112898,1.677389,114
4,112902,1.677389,114
4,112905,1.677389,114
4,112906,1.677389,114
4,112920,1.677389,114
4,112922,1.677389,114
4,112923,1.677389,114
4,112926,1.677389,114
4,112927,1.677389,114
4,112928,1.677389,114
4,112929,1.677389,114
4,112941,1.677389,114
4,112942,1.677389,114
4,112943,1.677389,114
4,112946,1.677389,114
4,112948,1.677389,114
4,112949,1.677389,114
4,112950,1.677389,114
4,112951,1.677389,114
4,112952,1.677389,114
4,112953,1.677389,114
4,112954,1.677389,114
4,113002,1.677389,114
4,113003,1.677389,114
4,113004,1.677389,114
4,113005,1.677389,114
4,113022,1.677389,114
4,113023,1.677389,114
4,113024,1.677389,114
4,113025,1.677389,114
4,113026,1.677389,114
4,113027,1.677389,114
4,113028,1.677389,114
4,113029,1.677389,114
4,113030,1.677389,114
4,113031,1.677389,114
4,113032,1.677389,114
4,113043,1.677389,114
4,113044,1.677389,114
4,113045,1.677389,114
4,113046,1.677389,114
4,113047,1.677389,114
4,113048,1.677389,114
4,113049,1.677389,114
4,113052,1.677389,114
4,113053,1.677389,114
4,113054,1.677389,114
4,113089,1.677389,114
4,113111,1.677389,114
4,113112,1.677389,114
4,113113,1.677389,114
4,113117,1.677389,114
4,113151,1.677389,114
4,113152,1.677389,114
4,113153,1.677389,114
4,113156,1.677389,114
4,113157,1.677389,114
4,113158,1.677389,114
