#replica_num,sequence_num,w,w_nominal
1,138981,1.677389,114
1,139262,1.677389,114
1,139279,1.677389,114
1,139283,1.677389,114
1,139284,1.677389,114
1,139285,1.677389,114
1,139286,1.677389,114
1,139287,1.677389,114
1,139288,1.677389,114
1,139289,1.677389,114
1,139290,1.677389,114
1,139291,1.677389,114
1,139292,1.677389,114
1,139295,1.677389,114
1,139296,1.677389,114
1,139297,1.677389,114
1,139298,1.677389,114
1,139299,1.677389,114
1,139300,1.677389,114
1,139301,1.677389,114
1,139302,1.677389,114
1,139303,1.677389,114
1,139304,1.677389,114
1,139305,1.677389,114
1,139307,1.677389,114
1,139308,1.677389,114
1,139309,1.677389,114
1,139310,1.677389,114
1,139313,1.677389,114
1,139314,1.677389,114
1,139324,1.677389,114
1,139325,1.677389,114
1,139326,1.677389,114
1,139327,1.677389,114
1,139328,1.677389,114
1,139329,1.677389,114
1,139330,1.677389,114
1,139331,1.677389,114
1,139332,1.677389,114
1,139334,1.677389,114
1,139339,1.677389,114
1,139342,1.677389,114
1,139343,1.677389,114
4,127559,1.677389,114
4,127572,1.677389,114
4,127574,1.677389,114
4,127575,1.677389,114
4,127576,1.677389,114
4,127577,1.677389,114
4,127582,1.677389,114
4,127583,1.677389,114
4,127591,1.677389,114
4,127592,1.677389,114
4,127593,1.677389,114
4,127594,1.677389,114
4,127596,1.677389,114
4,127597,1.677389,114
4,127598,1.677389,114
4,127599,1.677389,114
4,127600,1.677389,114
4,127601,1.677389,114
4,127602,1.677389,114
4,127656,1.677389,114
4,127657,1.677389,114
4,127658,1.677389,114
4,127669,1.677389,114
4,127676,1.677389,114
4,127677,1.677389,114
4,127678,1.677389,114
4,127694,1.677389,114
4,127695,1.677389,114
4,127698,1.677389,114
4,127699,1.677389,114
4,127813,1.677389,114
4,127814,1.677389,114
4,127815,1.677389,114
4,127816,1.677389,114
4,127817,1.677389,114
4,127818,1.677389,114
4,127819,1.677389,114
4,127820,1.677389,114
4,127821,1.677389,114
4,127822,1.677389,114
4,127823,1.677389,114
4,127824,1.677389,114
4,127825,1.677389,114
4,127826,1.677389,114
4,127827,1.677389,114
4,127838,1.677389,114
4,127839,1.677389,114
4,127851,1.677389,114
4,127867,1.677389,114
4,127868,1.677389,114
4,127869,1.677389,114
4,127870,1.677389,114
4,127871,1.677389,114
4,127872,1.677389,114
4,127873,1.677389,114
4,127875,1.677389,114
4,127876,1.677389,114
4,127877,1.677389,114
4,127885,1.677389,114
4,127886,1.677389,114
4,127887,1.677389,114
4,127888,1.677389,114
4,127889,1.677389,114
4,128068,1.677389,114
4,128069,1.677389,114
4,128070,1.677389,114
4,128071,1.677389,114
4,128072,1.677389,114
4,128073,1.677389,114
4,128074,1.677389,114
4,128075,1.677389,114
4,128076,1.677389,114
4,128086,1.677389,114
4,128088,1.677389,114
4,128089,1.677389,114
4,128090,1.677389,114
4,128094,1.677389,114
4,128095,1.677389,114
4,128096,1.677389,114
4,128097,1.677389,114
4,128110,1.677389,114
4,128117,1.677389,114
4,128119,1.677389,114
4,128120,1.677389,114
4,128121,1.677389,114
4,128122,1.677389,114
4,128123,1.677389,114
4,128124,1.677389,114
4,128125,1.677389,114
4,128126,1.677389,114
4,128127,1.677389,114
4,128128,1.677389,114
4,128129,1.677389,114
4,128130,1.677389,114
4,128131,1.677389,114
4,128132,1.677389,114
4,128152,1.677389,114
4,128153,1.677389,114
4,128154,1.677389,114
4,128155,1.677389,114
4,128156,1.677389,114
4,128157,1.677389,114
4,128159,1.677389,114
4,128160,1.677389,114
4,128161,1.677389,114
4,128201,1.677389,114
4,128242,1.677389,114
4,128243,1.677389,114
4,128244,1.677389,114
4,128245,1.677389,114
4,128246,1.677389,114
4,128247,1.677389,114
