#replica_num,sequence_num,w,w_nominal
22,52288,1.677389,114
22,52289,1.677389,114
22,52290,1.677389,114
22,52291,1.677389,114
22,52292,1.677389,114
22,52293,1.677389,114
22,52294,1.677389,114
22,52305,1.677389,114
22,52306,1.677389,114
22,52307,1.677389,114
22,52308,1.677389,114
22,52309,1.677389,114
22,52344,1.677389,114
22,52345,1.677389,114
22,52349,1.677389,114
22,52350,1.677389,114
22,52351,1.677389,114
22,52352,1.677389,114
22,52353,1.677389,114
22,52358,1.677389,114
22,52359,1.677389,114
22,52375,1.677389,114
22,52376,1.677389,114
22,52391,1.677389,114
22,52392,1.677389,114
22,52448,1.677389,114
22,52449,1.677389,114
22,52451,1.677389,114
22,52452,1.677389,114
22,52453,1.677389,114
22,52454,1.677389,114
29,51652,1.677389,114
29,51653,1.677389,114
29,51654,1.677389,114
29,51655,1.677389,114
29,51656,1.677389,114
29,51657,1.677389,114
29,51668,1.677389,114
29,51673,1.677389,114
29,51676,1.677389,114
29,52253,1.677389,114
29,52254,1.677389,114
29,52265,1.677389,114
29,52266,1.677389,114
29,52267,1.677389,114
29,52379,1.677389,114
29,52744,1.677389,114
32,51166,1.677389,114
32,51167,1.677389,114
32,51168,1.677389,114
32,51169,1.677389,114
32,51170,1.677389,114
32,51171,1.677389,114
32,51172,1.677389,114
32,51173,1.677389,114
32,51174,1.677389,114
32,51182,1.677389,114
32,51208,1.677389,114
32,51212,1.677389,114
32,51213,1.677389,114
32,51214,1.677389,114
32,51215,1.677389,114
32,51216,1.677389,114
32,51217,1.677389,114
32,51218,1.677389,114
32,51325,1.677389,114
32,51326,1.677389,114
32,51699,1.677389,114
32,51700,1.677389,114
32,51701,1.677389,114
32,51702,1.677389,114
32,51721,1.677389,114
32,51722,1.677389,114
32,51723,1.677389,114
32,51733,1.677389,114
32,51734,1.677389,114
32,51773,1.677389,114
32,51774,1.677389,114
32,51775,1.677389,114
32,51777,1.677389,114
32,51778,1.677389,114
32,51779,1.677389,114
32,51780,1.677389,114
32,51781,1.677389,114
32,51942,1.677389,114
32,51943,1.677389,114
32,51944,1.677389,114
32,51945,1.677389,114
32,51946,1.677389,114
32,51947,1.677389,114
32,51948,1.677389,114
32,51949,1.677389,114
32,51980,1.677389,114
32,51981,1.677389,114
32,51982,1.677389,114
32,51983,1.677389,114
32,51985,1.677389,114
32,51986,1.677389,114
32,51987,1.677389,114
32,51992,1.677389,114
32,51995,1.677389,114
32,52001,1.677389,114
32,52002,1.677389,114
32,52043,1.677389,114
32,52044,1.677389,114
32,52045,1.677389,114
32,52046,1.677389,114
32,52047,1.677389,114
32,52048,1.677389,114
32,52052,1.677389,114
32,52053,1.677389,114
32,52055,1.677389,114
32,52056,1.677389,114
32,52057,1.677389,114
32,52531,1.677389,114
32,52532,1.677389,114
32,52533,1.677389,114
32,52534,1.677389,114
32,52535,1.677389,114
32,52536,1.677389,114
32,52651,1.677389,114
32,52652,1.677389,114
32,52657,1.677389,114
32,52658,1.677389,114
32,52659,1.677389,114
32,52666,1.677389,114
32,52667,1.677389,114
32,52668,1.677389,114
40,51051,1.677389,114
40,51052,1.677389,114
40,51053,1.677389,114
40,51054,1.677389,114
40,51055,1.677389,114
40,51079,1.677389,114
40,51080,1.677389,114
40,51081,1.677389,114
40,51082,1.677389,114
40,51083,1.677389,114
40,51090,1.677389,114
40,51091,1.677389,114
40,51092,1.677389,114
40,51130,1.677389,114
40,51132,1.677389,114
40,51156,1.677389,114
40,51163,1.677389,114
40,51164,1.677389,114
