#replica_num,sequence_num,w,w_nominal
8,53841,1.677389,114
8,53842,1.677389,114
8,53843,1.677389,114
8,53844,1.677389,114
8,53845,1.677389,114
8,54445,1.677389,114
8,54446,1.677389,114
8,54447,1.677389,114
8,54448,1.677389,114
8,54449,1.677389,114
8,54464,1.677389,114
8,54465,1.677389,114
8,54466,1.677389,114
8,54467,1.677389,114
8,54468,1.677389,114
8,54469,1.677389,114
8,54470,1.677389,114
8,54484,1.677389,114
8,54485,1.677389,114
8,54575,1.677389,114
8,54576,1.677389,114
8,54577,1.677389,114
8,54578,1.677389,114
8,54581,1.677389,114
8,54582,1.677389,114
8,54583,1.677389,114
8,54584,1.677389,114
8,54585,1.677389,114
8,54641,1.677389,114
8,54642,1.677389,114
8,54643,1.677389,114
8,54644,1.677389,114
8,54677,1.677389,114
8,54678,1.677389,114
8,54679,1.677389,114
29,52745,1.677389,114
29,52746,1.677389,114
29,52754,1.677389,114
29,52771,1.677389,114
29,53028,1.677389,114
29,53029,1.677389,114
29,53030,1.677389,114
29,53031,1.677389,114
29,53032,1.677389,114
29,53033,1.677389,114
29,53034,1.677389,114
29,53035,1.677389,114
29,53036,1.677389,114
29,53037,1.677389,114
29,53038,1.677389,114
29,53039,1.677389,114
29,53040,1.677389,114
29,53042,1.677389,114
29,53043,1.677389,114
29,53044,1.677389,114
29,53045,1.677389,114
29,53046,1.677389,114
29,53047,1.677389,114
29,53048,1.677389,114
29,53049,1.677389,114
29,53198,1.677389,114
29,53199,1.677389,114
29,53200,1.677389,114
29,53201,1.677389,114
29,53202,1.677389,114
29,53203,1.677389,114
29,53204,1.677389,114
29,53205,1.677389,114
29,53206,1.677389,114
29,53207,1.677389,114
29,53208,1.677389,114
29,53209,1.677389,114
29,53210,1.677389,114
29,53211,1.677389,114
29,53212,1.677389,114
29,53213,1.677389,114
29,53214,1.677389,114
29,53651,1.677389,114
29,53652,1.677389,114
29,53757,1.677389,114
29,53777,1.677389,114
29,53778,1.677389,114
29,53781,1.677389,114
29,53798,1.677389,114
29,53799,1.677389,114
29,53800,1.677389,114
29,53801,1.677389,114
29,53802,1.677389,114
29,53803,1.677389,114
29,53804,1.677389,114
29,53805,1.677389,114
29,53814,1.677389,114
29,53815,1.677389,114
29,53827,1.677389,114
29,53846,1.677389,114
29,53850,1.677389,114
29,53851,1.677389,114
29,53895,1.677389,114
29,53899,1.677389,114
29,53900,1.677389,114
29,53901,1.677389,114
29,53902,1.677389,114
29,53916,1.677389,114
29,53917,1.677389,114
29,53918,1.677389,114
29,53919,1.677389,114
29,53920,1.677389,114
29,53921,1.677389,114
29,53922,1.677389,114
29,53923,1.677389,114
29,53924,1.677389,114
29,53925,1.677389,114
29,53928,1.677389,114
29,53929,1.677389,114
29,53932,1.677389,114
29,54016,1.677389,114
29,54017,1.677389,114
29,54046,1.677389,114
29,54047,1.677389,114
29,54048,1.677389,114
29,54049,1.677389,114
29,54050,1.677389,114
29,54051,1.677389,114
29,54052,1.677389,114
29,54053,1.677389,114
29,54054,1.677389,114
29,54055,1.677389,114
29,54056,1.677389,114
29,54058,1.677389,114
29,54059,1.677389,114
29,54060,1.677389,114
29,54062,1.677389,114
29,54063,1.677389,114
29,54064,1.677389,114
29,54072,1.677389,114
29,54073,1.677389,114
29,54082,1.677389,114
29,54083,1.677389,114
29,54084,1.677389,114
29,54089,1.677389,114
29,54093,1.677389,114
29,54094,1.677389,114
29,54102,1.677389,114
29,54103,1.677389,114
29,54104,1.677389,114
29,54105,1.677389,114
