#replica_num,sequence_num,w,w_nominal
1,59172,1.677389,114
1,59173,1.677389,114
1,59174,1.677389,114
1,59175,1.677389,114
1,59176,1.677389,114
1,59178,1.677389,114
1,59179,1.677389,114
1,59180,1.677389,114
1,59181,1.677389,114
1,59182,1.677389,114
1,59183,1.677389,114
1,59215,1.677389,114
1,59223,1.677389,114
1,59224,1.677389,114
1,59225,1.677389,114
1,59226,1.677389,114
1,59227,1.677389,114
1,59228,1.677389,114
1,59230,1.677389,114
1,59231,1.677389,114
1,59232,1.677389,114
1,59233,1.677389,114
1,59234,1.677389,114
1,59235,1.677389,114
1,59236,1.677389,114
1,59238,1.677389,114
1,59239,1.677389,114
1,59240,1.677389,114
1,59241,1.677389,114
1,59242,1.677389,114
1,59243,1.677389,114
1,59244,1.677389,114
1,59245,1.677389,114
1,59246,1.677389,114
1,59247,1.677389,114
1,59248,1.677389,114
1,59249,1.677389,114
1,59250,1.677389,114
1,59251,1.677389,114
1,59252,1.677389,114
1,59253,1.677389,114
1,59254,1.677389,114
1,59255,1.677389,114
1,59256,1.677389,114
1,59257,1.677389,114
1,59258,1.677389,114
1,59259,1.677389,114
1,59260,1.677389,114
1,59261,1.677389,114
1,59262,1.677389,114
1,59263,1.677389,114
1,59264,1.677389,114
1,59265,1.677389,114
1,59266,1.677389,114
1,59267,1.677389,114
1,59268,1.677389,114
1,59269,1.677389,114
1,59270,1.677389,114
1,59271,1.677389,114
1,59272,1.677389,114
1,59273,1.677389,114
1,59274,1.677389,114
1,59275,1.677389,114
1,59276,1.677389,114
1,59281,1.677389,114
1,59625,1.677389,114
1,59628,1.677389,114
1,59629,1.677389,114
1,59632,1.677389,114
1,59633,1.677389,114
1,59634,1.677389,114
1,59665,1.677389,114
1,59666,1.677389,114
1,59667,1.677389,114
1,59668,1.677389,114
1,59669,1.677389,114
1,59676,1.677389,114
1,59677,1.677389,114
1,59678,1.677389,114
1,59679,1.677389,114
1,59680,1.677389,114
1,59681,1.677389,114
1,59683,1.677389,114
1,59684,1.677389,114
1,59685,1.677389,114
1,59686,1.677389,114
1,59687,1.677389,114
1,59688,1.677389,114
1,59689,1.677389,114
1,59690,1.677389,114
1,59691,1.677389,114
1,59692,1.677389,114
1,59693,1.677389,114
1,59694,1.677389,114
1,59696,1.677389,114
1,59697,1.677389,114
1,59700,1.677389,114
1,59701,1.677389,114
1,59752,1.677389,114
1,59753,1.677389,114
1,66338,1.677389,114
1,66339,1.677389,114
1,66340,1.677389,114
1,66346,1.677389,114
1,66347,1.677389,114
1,66348,1.677389,114
1,66349,1.677389,114
1,66350,1.677389,114
1,66351,1.677389,114
1,68512,1.677389,114
1,68513,1.677389,114
1,68516,1.677389,114
1,68517,1.677389,114
1,68518,1.677389,114
1,68519,1.677389,114
1,68520,1.677389,114
1,68521,1.677389,114
1,68524,1.677389,114
1,68525,1.677389,114
1,68527,1.677389,114
1,68531,1.677389,114
1,68533,1.677389,114
1,68536,1.677389,114
1,68537,1.677389,114
1,68538,1.677389,114
1,68539,1.677389,114
1,68540,1.677389,114
1,68541,1.677389,114
1,68542,1.677389,114
1,68647,1.677389,114
1,68648,1.677389,114
1,68674,1.677389,114
1,68675,1.677389,114
1,68676,1.677389,114
1,68677,1.677389,114
1,68678,1.677389,114
1,68679,1.677389,114
1,68680,1.677389,114
1,68681,1.677389,114
1,68682,1.677389,114
4,58499,1.677389,114
4,58500,1.677389,114
4,58501,1.677389,114
4,58502,1.677389,114
4,58503,1.677389,114
4,58504,1.677389,114
4,58505,1.677389,114
4,58506,1.677389,114
4,58519,1.677389,114
4,58520,1.677389,114
4,58521,1.677389,114
4,58522,1.677389,114
4,58523,1.677389,114
4,58524,1.677389,114
4,58534,1.677389,114
4,58535,1.677389,114
4,58536,1.677389,114
4,58537,1.677389,114
4,58538,1.677389,114
4,58539,1.677389,114
4,58540,1.677389,114
