#replica_num,sequence_num,w,w_nominal
8,48193,1.677389,114
8,48195,1.677389,114
8,48196,1.677389,114
8,48202,1.677389,114
8,48203,1.677389,114
8,48204,1.677389,114
8,48210,1.677389,114
8,48211,1.677389,114
8,48212,1.677389,114
8,48213,1.677389,114
8,48214,1.677389,114
8,48216,1.677389,114
8,48217,1.677389,114
8,48218,1.677389,114
8,48219,1.677389,114
8,48220,1.677389,114
8,48221,1.677389,114
8,48222,1.677389,114
8,48223,1.677389,114
8,48224,1.677389,114
8,48225,1.677389,114
8,48229,1.677389,114
8,48230,1.677389,114
8,48231,1.677389,114
8,48232,1.677389,114
8,48233,1.677389,114
8,48236,1.677389,114
8,48237,1.677389,114
8,48238,1.677389,114
8,48239,1.677389,114
8,48240,1.677389,114
8,48241,1.677389,114
8,48243,1.677389,114
8,48292,1.677389,114
8,48294,1.677389,114
8,48295,1.677389,114
8,48296,1.677389,114
8,48304,1.677389,114
8,48305,1.677389,114
8,48306,1.677389,114
8,48307,1.677389,114
8,48308,1.677389,114
8,48337,1.677389,114
8,48338,1.677389,114
8,48339,1.677389,114
8,48344,1.677389,114
8,48345,1.677389,114
8,48346,1.677389,114
8,48347,1.677389,114
8,48348,1.677389,114
8,48349,1.677389,114
8,48350,1.677389,114
8,48351,1.677389,114
8,48352,1.677389,114
8,48353,1.677389,114
8,48354,1.677389,114
8,48355,1.677389,114
8,48356,1.677389,114
8,48358,1.677389,114
8,48363,1.677389,114
8,48364,1.677389,114
8,48365,1.677389,114
8,48366,1.677389,114
8,48385,1.677389,114
8,48390,1.677389,114
8,48391,1.677389,114
8,48392,1.677389,114
8,48423,1.677389,114
8,48424,1.677389,114
8,48425,1.677389,114
8,48426,1.677389,114
8,48427,1.677389,114
8,48432,1.677389,114
8,48440,1.677389,114
8,48446,1.677389,114
8,48447,1.677389,114
8,48448,1.677389,114
8,48449,1.677389,114
8,48461,1.677389,114
8,48462,1.677389,114
8,48463,1.677389,114
8,48464,1.677389,114
8,48465,1.677389,114
8,48466,1.677389,114
8,48467,1.677389,114
8,48468,1.677389,114
8,48469,1.677389,114
8,48470,1.677389,114
8,48471,1.677389,114
8,48472,1.677389,114
8,48473,1.677389,114
8,48474,1.677389,114
8,48475,1.677389,114
8,48476,1.677389,114
8,48477,1.677389,114
8,48478,1.677389,114
8,49224,1.677389,114
8,49225,1.677389,114
8,49226,1.677389,114
8,49227,1.677389,114
8,49228,1.677389,114
8,49229,1.677389,114
8,49240,1.677389,114
8,49241,1.677389,114
8,49242,1.677389,114
8,49243,1.677389,114
8,49244,1.677389,114
8,49245,1.677389,114
8,49246,1.677389,114
8,49247,1.677389,114
8,49249,1.677389,114
8,49250,1.677389,114
8,49251,1.677389,114
8,49253,1.677389,114
8,49254,1.677389,114
8,49255,1.677389,114
8,49256,1.677389,114
8,49257,1.677389,114
8,49258,1.677389,114
8,49259,1.677389,114
8,49260,1.677389,114
8,49261,1.677389,114
8,49262,1.677389,114
8,49263,1.677389,114
8,49264,1.677389,114
8,49265,1.677389,114
8,49266,1.677389,114
8,49267,1.677389,114
8,49268,1.677389,114
8,49269,1.677389,114
8,49270,1.677389,114
8,49289,1.677389,114
8,49290,1.677389,114
8,49291,1.677389,114
8,49292,1.677389,114
8,49293,1.677389,114
8,49294,1.677389,114
8,49295,1.677389,114
8,49296,1.677389,114
8,49297,1.677389,114
8,49302,1.677389,114
8,49303,1.677389,114
8,49310,1.677389,114
8,49311,1.677389,114
